,variable,r_sqr,intercept,slope,p_value
1,sqft_living,0.33566915806789244,0.2028440698389976,0.620934708293901,0.0
2,sqft_living15,0.2705257907289236,0.2041224947263732,0.5961245507941904,0.0
3,sqft_lot,0.002292708493446871,0.6072844768698779,-0.045203777856863435,1.282095578895112e-10
4,waterfront_1,0.004748759131559477,0.5760618971223634,0.24395844193726918,2.071245707118971e-20
5,view_1,0.009258901246104179,0.5747274556599065,0.12625259941096695,2.581068913455258e-38
6,view_2,0.023920046359749758,0.571730541872416,0.12580026871320302,8.036287495428196e-97
7,view_3,0.022034092000002503,0.57351886863407,0.18053498860611875,2.9612436474654922e-89
8,view_4,0.016974189727207434,0.5748242516910878,0.24275415220893656,5.113739610942492e-69
9,condition_2,0.007111852360596305,0.577648329267777,-0.1565209679947269,8.587836922040007e-30
10,condition_3,1.4278158957492515e-05,0.5773349870305229,-0.0012333799166722797,0.6120987324292904
11,condition_4,0.0006707787174949909,0.5789474557600652,-0.009172809114199845,0.0005086259668246918
12,condition_5,0.00628983103895997,0.5728635513843823,0.04530407572226187,1.5718686802868327e-26
13,grade_4,0.003750581494569194,0.5768462518374978,-0.29412985823388493,1.9334818808362023e-16
14,grade_5,0.02438145034220751,0.5790960341075995,-0.23405733895067474,1.1269422520461328e-98
15,grade_6,0.10006994231434807,0.5933180712470706,-0.16172413413171263,0.0
16,grade_7,0.07481068875064045,0.6156698553003639,-0.08560121317415496,1.8214103131329138e-306
17,grade_8,0.04462545631016279,0.5553456223054268,0.07237993005799681,8.368568294189778e-181
18,grade_9,0.12806517496643333,0.5574209162294055,0.18196683526998222,0.0
19,grade_10,0.06088995368363859,0.5702179384078143,0.24057946273904285,5.09504720952721e-248
20,grade_11,0.011090477218223649,0.5756439962698795,0.30311995701694633,1.3703307391376362e-45
21,zipcode_98002,0.020702519606569436,0.5788460817417114,-0.2201449931817062,6.395792891394611e-84
22,zipcode_98003,0.014343607287406246,0.5787869512502187,-0.15714110243831342,1.5698939812561646e-58
23,zipcode_98004,0.027455091794189035,0.5739331544244708,0.2590018243063133,4.859607091031349e-111
24,zipcode_98005,0.007426414999108344,0.5754589379543528,0.16868211341557277,4.847149457485319e-31
25,zipcode_98006,0.02008814333860709,0.5733534732153871,0.15661193567316425,1.8407948745386661e-81
26,zipcode_98007,0.002410281285353588,0.5758986702540273,0.092567940269267,4.331693962150495e-11
27,zipcode_98008,0.00352719789662459,0.5754374213308121,0.07914391579768101,1.4998596106980572e-15
28,zipcode_98010,0.0017529628604358027,0.5768838168646513,-0.12284413746293488,1.8982671175800533e-08
29,zipcode_98011,0.00033551254320030033,0.5762522819385355,0.029031389453007234,0.013960816409166807
30,zipcode_98014,0.00185154401154497,0.5768791202008214,-0.13149913613323094,7.60166011303482e-09
31,zipcode_98019,0.00019888501436848838,0.5767305783474209,-0.025036229118984427,0.058409598762661136
32,zipcode_98022,0.01059605214840842,0.5779867975055585,-0.17897832420504978,1.2627745321723295e-43
33,zipcode_98023,0.029569861496873462,0.5808617388526947,-0.17048447251049015,1.4381329727324528e-119
34,zipcode_98024,0.0003384330900054744,0.5766407396544733,-0.07862447408588823,0.013551093674108818
35,zipcode_98027,0.0031005981027762974,0.5755313567553589,0.07602566394122084,7.533253668579005e-14
36,zipcode_98028,1.2044344850470345e-05,0.5764715168637811,0.0046066837502029955,0.6414107297840077
37,zipcode_98029,0.005128197053235639,0.5751177603632981,0.08931256166185222,6.437238716321633e-22
38,zipcode_98030,0.010799113533981552,0.5784148264486508,-0.14159022856939996,1.9704526392185143e-44
39,zipcode_98031,0.010774318783674852,0.5784637375659913,-0.1377817569938607,2.4721789786410623e-44
40,zipcode_98032,0.010373835696062317,0.577814472812016,-0.1985094420562508,9.640272850958066e-43
41,zipcode_98033,0.015930027192648577,0.5737377030135525,0.14117536571887015,7.482440501042893e-65
42,zipcode_98034,0.00038745221037961297,0.5760174013857676,0.018679916359287303,0.008248157819856699
43,zipcode_98038,0.010190606430166782,0.5791541419143852,-0.09722860924001127,5.151095904962632e-42
44,zipcode_98039,0.0030985743454500225,0.5763027278328252,0.3231495032034475,7.674647092397886e-14
45,zipcode_98040,0.026576211498173685,0.5739680170293012,0.2541286803516994,1.682753745035575e-107
46,zipcode_98042,0.022113584972218048,0.5802090604326802,-0.15001363472625417,1.4217183081452681e-89
47,zipcode_98045,0.0012905965279073062,0.5770299228497922,-0.06400407128714562,1.4175439201696555e-06
48,zipcode_98052,0.013905476272917827,0.5734614318432693,0.11301127675431939,8.718844509775229e-57
49,zipcode_98053,0.0025974168425918487,0.5756791981658346,0.07454751871415456,7.716537808782965e-12
50,zipcode_98055,0.010618276931143145,0.5784381407958107,-0.13759027845233537,1.0304605316925433e-43
51,zipcode_98056,0.002248898287592671,0.5776096832841223,-0.051985567450782616,1.9215012109667463e-10
52,zipcode_98058,0.008414562427467742,0.5786214214376072,-0.10016279193078027,5.802611316773686e-35
53,zipcode_98059,5.3288350039260024e-05,0.5767001128319388,-0.008055470510272743,0.327270331959579
54,zipcode_98065,0.0009156720396057416,0.5759830968216425,0.040810728213302866,4.871595367729024e-05
55,zipcode_98070,1.552786909786441e-05,0.5765574558946543,-0.017589253633172718,0.5969400244710117
56,zipcode_98072,4.5748513618604214e-05,0.5764416329646415,0.01188198050779854,0.36404790423793554
